t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
73.7,4,7924.924151233013,-107.28791722740431,10239.317044966472,186.44955638216612,118.4374979529332,-0.18099817376027275,3313.564086474699,211.60261214905918,90.09681921768367,-3646.0270257084003,15161.382473387102
73.8,4,7928.365029817515,-107.20829273484257,10247.409942898867,186.430138364993,118.43697940297926,-0.1800767052345496,3323.2039992382142,211.03830308496657,90.13320383788411,-3654.9049628611533,15177.776488739642
73.9,4,7932.047587781154,-107.13696352008665,10255.467266667278,186.41585140323554,118.43642998348368,-0.1791659249557806,3332.5378029893786,210.52580745291053,90.17781297754294,-3663.78197952323,15194.169171058817
74.0,4,7935.965624858728,-107.05810223431486,10263.489551533816,186.39808307759816,118.43590913004468,-0.1782505729598388,3341.5655753420056,209.95632197050378,90.08816369255405,-3672.658064546797,15210.56049705617
74.1,4,7940.1268814703635,-106.98749129339765,10271.476144403126,186.38544261510194,118.43535765231765,-0.17734696197547228,3350.2753365222397,209.47226359756917,90.20451728193527,-3681.533306973634,15226.950635231247
74.2,4,7944.527606619183,-106.90946345822766,10279.427584774894,186.3693282385236,118.43483434543062,-0.17643949855161312,3358.6825955954614,208.9506972931241,90.12616686662312,-3690.4076957911698,15243.339562633113
74.3,4,7949.168646943289,-106.83963059556147,10287.343223326921,186.35833979797368,118.43428075442567,-0.17554371574404082,3366.7709021316023,208.45329204419482,90.16485546689746,-3699.2813201240824,15259.727447898384
74.4,4,7954.052732289262,-106.7623987380021,10295.22360564841,186.3438850440944,118.43375504701679,-0.17464420286414833,3374.5485879383687,208.01122758844627,90.2033515254415,-3708.1541691476136,15276.114268441053
74.5,4,7959.173775206203,-106.69335034362656,10303.068086306146,186.33455419640595,118.43319950274106,-0.17375620462728972,3382.0173020225734,207.51577426667671,90.1239932074337,-3717.0263320957474,15292.500193009117
74.6,4,7964.538312062839,-106.61681246411554,10310.877215583354,186.32176352371354,118.43267166263973,-0.1728646496013335,3389.1659350003215,207.1071757530939,90.23400429155913,-3725.897798323349,15308.885199293123
74.7,4,7970.141063109861,-106.54846044672834,10318.650349432093,186.31409369185718,118.43211449779419,-0.17198447476990752,3396.0114608639274,206.663165454152,90.1593583510318,-3734.7686571429253,15325.269456042279
74.8,4,7975.983529699875,-106.472528394785,10326.388039842197,186.30296899556245,118.43158488315308,-0.1711008942493409,3402.5376056430728,206.24430009820642,90.20048680719272,-3743.6388980331553,15341.652941097293
74.9,4,7982.067040505353,-106.40473403679206,10334.08964128394,186.29696106753929,118.43102642123324,-0.17022853379057704,3408.7535679234984,205.88120725781496,90.2344071222022,-3752.508610323272,15358.035823107182
75.0,4,7988.385359240637,-106.32935976933928,10341.755705275933,186.28750225137995,118.43049528918256,-0.16935290904216535,3414.661425267345,205.46581071549946,90.16314114119874,-3761.3777835524315,15374.418079987307
75.1,4,7994.9456148153895,-106.26202769086554,10349.385583584899,186.28315589762764,118.42993568804368,-0.16848836522605265,3420.250091053453,205.1369401737761,90.26839015230789,-3770.2465070189364,15390.799880260485
75.2,4,8001.740729221144,-106.18717678503177,10356.979827199191,186.27536257881275,118.4294031014617,-0.16762072948866252,3425.5372581074416,204.77322328769748,90.19751179861655,-3779.114770291211,15407.181201926385
75.3,4,8008.7741199734955,-106.12030330200496,10364.537786100573,186.27267801623458,118.42884233320275,-0.16676407330824566,3430.5063547561886,204.43454273425147,90.24033307597608,-3787.982662629904,15423.562213431624
75.4,4,8016.04512681827,-106.04593629120966,10372.060012410593,186.26655096090397,118.42830820829757,-0.16590452233047898,3435.166994233543,204.15126190915544,90.27170699879414,-3796.8501736426733,15439.942892924071
75.5,4,8023.548836282121,-105.97956154274837,10379.545856287015,186.26552986863896,118.42774615699727,-0.1650558656599415,3439.5213576438814,203.81598248167185,90.20661720042871,-3805.7173925795087,15456.323408849208
75.6,4,8031.29174895781,-105.9056482352898,10386.99587290012,186.26107124079417,118.42721038706458,-0.16420450690520477,3443.5581635310086,203.56650363403924,90.30877805127159,-3814.5843091173488,15472.703739560297
75.7,4,8039.266787810086,-105.83976980351738,10394.40941403366,186.26171638759692,118.4266469723976,-0.16336394339151922,3447.2955688898387,203.28224943470383,90.24125407758366,-3823.4510125276784,15489.084053544786
